Timestamp,Consent to Participate,Age Group,Professional Background,Industry / Sector,Email Usage Frequency,Primary Language,Do you believe this email was written by a human or generated by AI?,Overall Professionalism,Do you believe this email was written by a human or generated by AI?,Overall Professionalism,Do you believe this email was written by a human or generated by AI?,Overall Professionalism,Do you believe this email was written by a human or generated by AI?,Overall Professionalism,Do you believe this email was written by a human or generated by AI?,Overall Professionalism,Do you believe this email was written by a human or generated by AI?,Overall Professionalism,Do you believe this email was written by a human or generated by AI?,Overall Professionalism,Do you believe this email was written by a human or generated by AI?,Overall Professionalism
23/02/2025 11:51:17,I have read and understood the information provided and consent to participate in this study.,18-24,Student,Education,Once per day,English as additional language,AI,4,Human,4,Human,4,Human,4,Unsure,5,AI,4,AI,5,Human,5
23/02/2025 11:55:12,I have read and understood the information provided and consent to participate in this study.,45-54,Senior Professional (15+ years),Healthcare,Multiple times per day,English as additional language,Human,5,Human,5,Human,5,Human,5,Human,5,Human,5,Human,5,Human,5
23/02/2025 12:20:06,I have read and understood the information provided and consent to participate in this study.,18-24,Student,Manufacturing,Multiple times per day,English as additional language,AI,3,Unsure,2,Unsure,3,AI,4,Human,4,Unsure,4,AI,3,Unsure,3
23/02/2025 12:27:50,I have read and understood the information provided and consent to participate in this study.,18-24,Student,Government,Multiple times per day,English as additional language,AI,5,AI,5,AI,5,AI,5,AI,5,AI,5,AI,5,AI,5
23/02/2025 17:27:10,I have read and understood the information provided and consent to participate in this study.,18-24,Early Career Professional (0-5 years),Government,Multiple times per day,English as first language,Unsure,4,Unsure,4,Human,5,Human,5,AI,4,AI,4,AI,2,AI,3
23/02/2025 17:33:00,I have read and understood the information provided and consent to participate in this study.,18-24,Student,Technology,Multiple times per day,English as additional language,AI,4,Human,3,Human,2,AI,3,AI,5,AI,5,AI,5,Human,4
23/02/2025 18:29:38,I have read and understood the information provided and consent to participate in this study.,25-34,Senior Professional (15+ years),Technology,Multiple times per day,English as additional language,Human,5,Human,5,Human,3,AI,4,Human,5,AI,4,AI,4,AI,4
23/02/2025 19:29:57,I have read and understood the information provided and consent to participate in this study.,25-34,Mid-Career Professional (6-15 years),Manufacturing,Once per day,English as additional language,AI,3,Human,3,Human,4,AI,4,AI,3,Human,2,Human,4,AI,5
24/02/2025 13:57:25,I have read and understood the information provided and consent to participate in this study.,35-44,Senior Professional (15+ years),Government,Multiple times per day,English as additional language,AI,4,Human,4,Unsure,4,Human,5,Unsure,4,Human,5,Unsure,4,Human,4
24/02/2025 14:18:27,I have read and understood the information provided and consent to participate in this study.,25-34,Mid-Career Professional (6-15 years),Government,Multiple times per day,English as additional language,AI,5,Unsure,4,Human,3,Human,3,Human,4,Human,4,Unsure,4,Unsure,3
24/02/2025 14:33:51,I have read and understood the information provided and consent to participate in this study.,25-34,Mid-Career Professional (6-15 years),Technology,Multiple times per day,English as first language,Unsure,5,Human,3,Human,5,Human,3,Human,5,Human,4,AI,5,Human,4
